PICKER_ID,THM_ID,ARTICLE_CODE,FLOOR,AISLE,COLUMN,SHELF,LEFT_OR_RIGHT,AMOUNT,PICKCAR_ID,PICK_ORDER
PICKER_MZN1,167062818,602,MZN1,18,1,1,R,2,PICKCAR_MZN1,1
PICKER_MZN1,567131524,604,MZN1,17,4,2,R,1,PICKCAR_MZN1,2
PICKER_MZN1,567363263,579,MZN1,17,7,1,L,1,PICKCAR_MZN1,3
PICKER_MZN1,567363263,583,MZN1,17,7,1,L,1,PICKCAR_MZN1,3
PICKER_MZN1,167041673,594,MZN1,17,8,2,R,1,PICKCAR_MZN1,4
PICKER_MZN1,567490215,3019,MZN1,18,11,2,L,1,PICKCAR_MZN1,5
PICKER_MZN1,167039236,562,MZN1,18,12,2,R,1,PICKCAR_MZN1,6
PICKER_MZN1,567204223,572,MZN1,13,8,1,R,1,PICKCAR_MZN1,7
PICKER_MZN1,567204223,577,MZN1,13,8,1,R,1,PICKCAR_MZN1,7
PICKER_MZN1,167070525,571,MZN1,11,11,2,R,1,PICKCAR_MZN1,8
PICKER_MZN1,567932025,593,MZN1,11,12,2,L,1,PICKCAR_MZN1,9
PICKER_MZN1,567753584,961,MZN1,11,15,1,L,1,PICKCAR_MZN1,10
PICKER_MZN1,167070535,922,MZN1,11,16,2,L,2,PICKCAR_MZN1,11
PICKER_MZN1,167070189,567,MZN1,8,16,2,L,1,PICKCAR_MZN1,12
PICKER_MZN1,167062673,587,MZN1,8,15,2,R,1,PICKCAR_MZN1,13
PICKER_MZN1,567520622,555,MZN1,8,15,2,R,1,PICKCAR_MZN1,13
PICKER_MZN1,167070148,576,MZN1,8,9,2,R,1,PICKCAR_MZN1,14
PICKER_MZN1,567307015,569,MZN1,8,7,1,R,1,PICKCAR_MZN1,15
