PICKER_ID,THM_ID,ARTICLE_CODE,FLOOR,AISLE,COLUMN,SHELF,LEFT_OR_RIGHT,AMOUNT,PICKCAR_ID
44194,167059611,554,MZN1,1,5,1,R,1,4167417565
43937,167059633,555,MZN1,2,1,1,L,1,4167417497
43937,167067698,557,MZN1,2,4,1,L,1,4167417497
43937,167070258,556,MZN1,2,4,1,L,1,4167417497
44194,167069727,558,MZN1,2,6,2,R,1,4167417565
44194,167070250,559,MZN1,2,7,1,L,1,4167417565
44194,167069724,560,MZN1,2,7,1,R,1,4167417565
44194,167070247,561,MZN1,2,10,1,R,1,4167417565
44194,167059581,562,MZN1,2,13,1,R,1,4167417565
44194,567744035,563,MZN1,2,17,2,L,1,4167417565
44194,567744035,563,MZN1,2,17,2,L,1,4167417565
44194,567744035,563,MZN1,2,17,2,L,1,4167417565
44194,567744643,564,MZN1,2,17,2,L,1,4167417565
44194,167057746,565,MZN1,3,15,1,R,1,4167417565
44194,4197218186,566,MZN1,3,15,2,R,1,4167417565
43937,167067664,567,MZN1,3,17,2,L,1,4167417497
43937,567504723,568,MZN1,3,19,2,R,1,4167417497
43937,167059223,569,MZN1,4,18,1,L,1,4167417497
44498,167045198,376,MZN1,5,2,1,L,1,4167417568
44498,167045198,571,MZN1,5,2,1,L,1,4167417568
44498,167045198,503,MZN1,5,2,1,L,1,4167417568
44498,167045198,471,MZN1,5,2,1,L,1,4167417568
44498,167045198,466,MZN1,5,2,1,L,1,4167417568
44498,167045198,471,MZN1,5,2,1,L,1,4167417568
44498,167045198,466,MZN1,5,2,1,L,1,4167417568
44498,167045198,570,MZN1,5,2,1,L,1,4167417568
44498,167045198,467,MZN1,5,2,1,L,1,4167417568
44498,167039156,572,MZN1,5,10,1,R,1,4167417568
43937,567176550,573,MZN1,6,7,1,L,1,4167417497
43937,167045202,574,MZN1,6,7,1,R,1,4167417497
43937,167045201,575,MZN1,6,8,1,R,1,4167417497
43937,167045201,546,MZN1,6,8,1,R,1,4167417497
43937,167045204,483,MZN1,6,8,2,L,1,4167417497
43937,167045204,481,MZN1,6,8,2,L,1,4167417497
43937,167067354,577,MZN1,6,9,1,R,1,4167417497
43937,167067354,576,MZN1,6,9,1,R,1,4167417497
43937,167045199,465,MZN1,6,10,2,L,1,4167417497
43937,167045199,467,MZN1,6,10,2,L,2,4167417497
43937,567514268,578,MZN1,6,19,1,R,1,4167417497
43937,167045168,581,MZN1,7,9,1,L,1,4167417497
43937,167045168,581,MZN1,7,9,1,L,1,4167417497
43937,167045168,580,MZN1,7,9,1,L,1,4167417497
43937,567932711,579,MZN1,7,9,1,L,1,4167417497
43937,167045167,582,MZN1,7,9,2,L,1,4167417497
43937,167063059,583,MZN1,7,14,1,L,1,4167417497
43937,167066570,584,MZN1,7,17,1,L,1,4167417497
43937,167066570,584,MZN1,7,17,1,L,1,4167417497
43937,167066570,584,MZN1,7,17,1,L,1,4167417497
43937,167066570,584,MZN1,7,17,1,L,1,4167417497
43937,167066570,584,MZN1,7,17,1,L,1,4167417497
43937,167066570,584,MZN1,7,17,1,L,1,4167417497
43937,167066570,584,MZN1,7,17,1,L,1,4167417497
43937,167059647,585,MZN1,8,4,1,R,1,4167417497
43937,567475712,586,MZN1,8,9,1,R,1,4167417497
43937,167062673,587,MZN1,8,15,2,R,1,4167417497
43937,167054596,588,MZN1,8,16,1,R,1,4167417497
43937,167054596,588,MZN1,8,16,1,R,1,4167417497
43937,167054596,588,MZN1,8,16,1,R,1,4167417497
43937,167066294,589,MZN1,9,2,1,L,1,4167417497
43937,567932669,590,MZN1,9,2,2,L,1,4167417497
44498,167045172,591,MZN1,11,9,1,L,1,4167417568
44498,167045172,592,MZN1,11,9,1,L,1,4167417568
43937,567932025,593,MZN1,11,12,2,L,1,4167417497
43937,567383697,594,MZN1,11,13,1,R,1,4167417497
43937,167070515,258,MZN1,12,13,1,L,1,4167417497
43937,167070518,409,MZN1,12,14,1,R,1,4167417497
44498,167070320,595,MZN1,13,3,1,L,1,4167417568
44498,167070213,596,MZN1,13,17,2,L,1,4167417568
43937,167070500,409,MZN1,14,7,2,R,1,4167417497
44436,167045144,505,MZN1,14,9,2,R,1,4167417544
44436,567203965,597,MZN1,14,13,2,L,1,4167417544
44436,567825775,598,MZN1,14,19,1,R,1,4167417544
44436,567825775,598,MZN1,14,19,1,R,1,4167417544
44436,167069899,599,MZN1,15,7,2,R,1,4167417544
44436,167069700,600,MZN1,15,8,2,R,1,4167417544
